reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,course,speed,magvar,geoidheight,name,cmt,desc,src,url,urlname,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.82043966,42.95394168,0,0,0,175.822,20/10/2020 20:38:08,,1.16,,,,,,,,,,,,16,,,,,
-78.82042837,42.95393677,0,0,1,175.265,20/10/2020 20:38:09,,1.16,,,,,,,,,,,,16,,,,,
-78.82041591,42.95393078,0,0,2,175.272,20/10/2020 20:38:10,,1.17,,,,,,,,,,,,16,,,,,
-78.82040309,42.95392534,0,0,3,175.14,20/10/2020 20:38:11,,1.19,,,,,,,,,,,,16,,,,,
-78.82038852,42.9539218,0,0,4,175.667,20/10/2020 20:38:12,,1.21,,,,,,,,,,,,16,,,,,
-78.82037302,42.95392033,0,0,5,176.31,20/10/2020 20:38:13,,1.21,,,,,,,,,,,,16,,,,,
-78.82035688,42.95392056,0,0,6,175.735,20/10/2020 20:38:14,,1.2,,,,,,,,,,,,16,,,,,
-78.82034236,42.95392129,0,0,7,174.881,20/10/2020 20:38:15,,1.2,,,,,,,,,,,,16,,,,,
-78.82032708,42.95392093,0,0,8,176.777,20/10/2020 20:38:16,,1.21,,,,,,,,,,,,16,,,,,
-78.82031241,42.95391896,0,0,9,177.968,20/10/2020 20:38:17,,1.21,,,,,,,,,,,,16,,,,,
-78.8202964,42.95391571,0,0,10,177.889,20/10/2020 20:38:18,,1.2,,,,,,,,,,,,16,,,,,
-78.82028162,42.95391274,0,0,11,177.475,20/10/2020 20:38:19,,1.21,,,,,,,,,,,,16,,,,,
-78.82026562,42.95391063,0,0,12,176.494,20/10/2020 20:38:20,,1.22,,,,,,,,,,,,16,,,,,
-78.82025037,42.95390841,0,0,13,177.053,20/10/2020 20:38:21,,1.22,,,,,,,,,,,,16,,,,,
-78.82023512,42.95390614,0,0,14,176.708,20/10/2020 20:38:22,,1.23,,,,,,,,,,,,16,,,,,
-78.82022001,42.95390323,0,0,15,176.44,20/10/2020 20:38:23,,1.23,,,,,,,,,,,,16,,,,,
-78.82020568,42.95389901,0,0,16,176.318,20/10/2020 20:38:24,,1.25,,,,,,,,,,,,16,,,,,
-78.82019281,42.95389339,0,0,17,175.611,20/10/2020 20:38:25,,1.26,,,,,,,,,,,,16,,,,,
-78.82017909,42.95388696,0,0,18,175.595,20/10/2020 20:38:26,,1.27,,,,,,,,,,,,16,,,,,
-78.82016422,42.95388346,0,0,19,175.425,20/10/2020 20:38:27,,1.27,,,,,,,,,,,,16,,,,,
-78.82014883,42.95388031,0,0,20,175.964,20/10/2020 20:38:28,,1.27,,,,,,,,,,,,17,,,,,
-78.82013516,42.95387576,0,0,21,176.505,20/10/2020 20:38:29,,1.27,,,,,,,,,,,,17,,,,,
-78.82012182,42.95386997,0,0,22,176.688,20/10/2020 20:38:30,,1.28,,,,,,,,,,,,17,,,,,
-78.8201075,42.95386293,0,0,23,176.799,20/10/2020 20:38:31,,1.31,,,,,,,,,,,,17,,,,,
-78.82009395,42.95385615,0,0,24,176.719,20/10/2020 20:38:32,,1.3,,,,,,,,,,,,17,,,,,
-78.82008158,42.95384982,0,0,25,176.382,20/10/2020 20:38:33,,1.27,,,,,,,,,,,,17,,,,,
-78.82007047,42.95384309,0,0,26,176.707,20/10/2020 20:38:34,,1.27,,,,,,,,,,,,17,,,,,
-78.8200616,42.95383672,0,0,27,177.308,20/10/2020 20:38:35,,1.25,,,,,,,,,,,,16,,,,,
-78.82005485,42.95382952,0,0,28,177.591,20/10/2020 20:38:36,,1.23,,,,,,,,,,,,16,,,,,
-78.82005648,42.95382925,0,0,29,177.514,20/10/2020 20:38:37,,0.0000000000000000,,,,,,,,,,,,17,,,,,
-78.82005377,42.95383363,0,0,30,177.581,20/10/2020 20:38:38,,0.0000000000000000,,,,,,,,,,,,17,,,,,
-78.8200446,42.95383375,0,0,31,177.559,20/10/2020 20:38:39,,1.03,,,,,,,,,,,,17,,,,,
-78.81999968,42.95382975,0,0,32,176.913,20/10/2020 20:38:42,,1.23,,,,,,,,,,,,16,,,,,
-78.8199872,42.95383041,0,0,33,176.957,20/10/2020 20:38:43,,1.2,,,,,,,,,,,,16,,,,,
-78.81997404,42.95382931,0,0,34,176.557,20/10/2020 20:38:44,,1.2,,,,,,,,,,,,15,,,,,
-78.81996349,42.95382636,0,0,35,176.155,20/10/2020 20:38:45,,1.11,,,,,,,,,,,,15,,,,,
-78.81995475,42.95382292,0,0,36,177.365,20/10/2020 20:38:46,,1.05,,,,,,,,,,,,16,,,,,
-78.81994477,42.95381833,0,0,37,178.774,20/10/2020 20:38:47,,1.07,,,,,,,,,,,,16,,,,,
-78.81993277,42.95381293,0,0,38,180.192,20/10/2020 20:38:48,,1.09,,,,,,,,,,,,16,,,,,
-78.8199194,42.95380653,0,0,39,179.345,20/10/2020 20:38:49,,1.25,,,,,,,,,,,,16,,,,,
-78.81990527,42.9537996,0,0,40,179.292,20/10/2020 20:38:50,,1.25,,,,,,,,,,,,16,,,,,
-78.81988967,42.95379339,0,0,41,180.528,20/10/2020 20:38:51,,1.25,,,,,,,,,,,,16,,,,,
-78.81987397,42.9537884,0,0,42,180.522,20/10/2020 20:38:52,,1.24,,,,,,,,,,,,16,,,,,
-78.81986049,42.95378661,0,0,43,180.56,20/10/2020 20:38:53,,1.23,,,,,,,,,,,,16,,,,,
-78.8198476,42.95378632,0,0,44,178.814,20/10/2020 20:38:54,,1.23,,,,,,,,,,,,16,,,,,
-78.81983561,42.95378273,0,0,45,178.763,20/10/2020 20:38:55,,1.22,,,,,,,,,,,,16,,,,,
-78.81982356,42.95377666,0,0,46,179.37,20/10/2020 20:38:56,,1.22,,,,,,,,,,,,17,,,,,
-78.81981017,42.95376988,0,0,47,179.769,20/10/2020 20:38:57,,1.22,,,,,,,,,,,,17,,,,,
-78.81979672,42.95376531,0,0,48,179.358,20/10/2020 20:38:58,,1.22,,,,,,,,,,,,17,,,,,
-78.81978302,42.95376271,0,0,49,180.209,20/10/2020 20:38:59,,1.22,,,,,,,,,,,,17,,,,,
-78.81976965,42.9537609,0,0,50,180.417,20/10/2020 20:39:00,,1.22,,,,,,,,,,,,17,,,,,
-78.81975604,42.95376174,0,0,51,179.881,20/10/2020 20:39:01,,1.23,,,,,,,,,,,,17,,,,,
-78.81974153,42.95376541,0,0,52,180.036,20/10/2020 20:39:02,,1.23,,,,,,,,,,,,17,,,,,
-78.81972757,42.9537697,0,0,53,180.036,20/10/2020 20:39:03,,1.24,,,,,,,,,,,,16,,,,,
-78.81971393,42.9537745,0,0,54,179.281,20/10/2020 20:39:04,,1.24,,,,,,,,,,,,16,,,,,
-78.81969854,42.95377677,0,0,55,179.776,20/10/2020 20:39:05,,1.24,,,,,,,,,,,,15,,,,,
-78.81968324,42.95377727,0,0,56,178.94,20/10/2020 20:39:06,,1.24,,,,,,,,,,,,14,,,,,
-78.81966887,42.95377574,0,0,57,179.328,20/10/2020 20:39:07,,1.24,,,,,,,,,,,,15,,,,,
-78.81965413,42.95377495,0,0,58,179.165,20/10/2020 20:39:08,,1.23,,,,,,,,,,,,14,,,,,
-78.8196387,42.95377666,0,0,59,180.66,20/10/2020 20:39:09,,1.23,,,,,,,,,,,,16,,,,,
-78.81962552,42.95377874,0,0,60,180.313,20/10/2020 20:39:10,,1.22,,,,,,,,,,,,16,,,,,
-78.81961421,42.9537829,0,0,61,179.409,20/10/2020 20:39:11,,1.21,,,,,,,,,,,,16,,,,,
-78.81960148,42.95378725,0,0,62,179.321,20/10/2020 20:39:12,,1.21,,,,,,,,,,,,16,,,,,
-78.81958839,42.95378955,0,0,63,178.234,20/10/2020 20:39:13,,1.21,,,,,,,,,,,,15,,,,,
-78.81957565,42.95379105,0,0,64,178.198,20/10/2020 20:39:14,,1.18,,,,,,,,,,,,15,,,,,
-78.81956367,42.95379387,0,0,65,178.238,20/10/2020 20:39:15,,1.18,,,,,,,,,,,,14,,,,,
-78.81955342,42.95379938,0,0,66,178.055,20/10/2020 20:39:16,,1.18,,,,,,,,,,,,14,,,,,
-78.81954441,42.95380633,0,0,67,178.869,20/10/2020 20:39:17,,1.17,,,,,,,,,,,,14,,,,,
-78.81953432,42.95381188,0,0,68,178.95,20/10/2020 20:39:18,,1.17,,,,,,,,,,,,15,,,,,
-78.81952568,42.95381666,0,0,69,178.382,20/10/2020 20:39:19,,1.17,,,,,,,,,,,,15,,,,,
-78.81951691,42.95382261,0,0,70,178.616,20/10/2020 20:39:20,,1.17,,,,,,,,,,,,15,,,,,
-78.81950913,42.9538279,0,0,71,178.929,20/10/2020 20:39:21,,1.17,,,,,,,,,,,,16,,,,,
-78.81950074,42.95383365,0,0,72,179.633,20/10/2020 20:39:22,,1.16,,,,,,,,,,,,16,,,,,
-78.81949193,42.95383918,0,0,73,179.512,20/10/2020 20:39:23,,1.16,,,,,,,,,,,,16,,,,,
-78.81948195,42.9538442,0,0,74,178.413,20/10/2020 20:39:24,,1.15,,,,,,,,,,,,16,,,,,
-78.8194739,42.9538522,0,0,75,178.099,20/10/2020 20:39:25,,1.16,,,,,,,,,,,,16,,,,,
-78.81946583,42.95385953,0,0,76,178.314,20/10/2020 20:39:26,,1.16,,,,,,,,,,,,16,,,,,
-78.81946208,42.95386869,0,0,77,178.232,20/10/2020 20:39:27,,1.15,,,,,,,,,,,,15,,,,,
-78.81945967,42.95388043,0,0,78,178.786,20/10/2020 20:39:28,,1.16,,,,,,,,,,,,15,,,,,
-78.81945451,42.95389301,0,0,79,179.752,20/10/2020 20:39:29,,1.17,,,,,,,,,,,,15,,,,,
-78.819447,42.95390386,0,0,80,179.017,20/10/2020 20:39:30,,1.18,,,,,,,,,,,,17,,,,,
-78.81943853,42.95391387,0,0,81,179.721,20/10/2020 20:39:31,,1.18,,,,,,,,,,,,17,,,,,
-78.81942917,42.95392341,0,0,82,181.603,20/10/2020 20:39:32,,1.19,,,,,,,,,,,,17,,,,,
-78.81941804,42.95393135,0,0,83,181.356,20/10/2020 20:39:33,,1.2,,,,,,,,,,,,17,,,,,
-78.81940761,42.95394064,0,0,84,180.797,20/10/2020 20:39:34,,1.2,,,,,,,,,,,,17,,,,,
-78.81939627,42.9539478,0,0,85,180.01,20/10/2020 20:39:35,,1.23,,,,,,,,,,,,17,,,,,
-78.8193865,42.95395511,0,0,86,180.538,20/10/2020 20:39:36,,1.3,,,,,,,,,,,,17,,,,,
-78.81937618,42.95396404,0,0,87,180.909,20/10/2020 20:39:37,,1.51,,,,,,,,,,,,17,,,,,
-78.81936505,42.95397296,0,0,88,181.854,20/10/2020 20:39:38,,1.45,,,,,,,,,,,,17,,,,,
-78.81935555,42.95398167,0,0,89,181.545,20/10/2020 20:39:39,,1.39,,,,,,,,,,,,17,,,,,
-78.81934672,42.9539901,0,0,90,181.329,20/10/2020 20:39:40,,1.37,,,,,,,,,,,,17,,,,,
-78.81933824,42.95399953,0,0,91,180.731,20/10/2020 20:39:41,,1.4,,,,,,,,,,,,17,,,,,
-78.81932972,42.95400853,0,0,92,180.564,20/10/2020 20:39:42,,1.44,,,,,,,,,,,,16,,,,,
-78.81932017,42.95401746,0,0,93,180.024,20/10/2020 20:39:43,,1.4,,,,,,,,,,,,15,,,,,
-78.81931083,42.95402624,0,0,94,180.54,20/10/2020 20:39:44,,1.36,,,,,,,,,,,,14,,,,,
-78.81930406,42.95403548,0,0,95,181.076,20/10/2020 20:39:45,,1.31,,,,,,,,,,,,13,,,,,
-78.81929748,42.95404356,0,0,96,182.15,20/10/2020 20:39:46,,1.16,,,,,,,,,,,,11,,,,,
